Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.104-172.217.14.66-54350-443-6,192.168.0.104,54350,172.217.14.66,443,6,06/09/2020 02:10:10 PM,70181674,8,5,581.0,3457.0,517.0,0.0,72.62500000000001,180.94587785933592,2877.0,0.0,691.4,1247.3330750044272,57.53638763304506,0.18523354116631643,5848472.833333333,1.4118665404727265E7,4.4960135E7,7.0,7.0181674E7,1.002595342857143E7,1.784878784153076E7,4.4960135E7,1179.0,4.5819876E7,1.1454969E7,2.2528885730127905E7,4.524771E7,4895.0,0,0,0,0,264,168,0.11398987148696396,0.07124366967935247,0.0,2877.0,288.42857142857144,770.6260905449358,593864.5714285716,1,2,0,4,12,0,0,0,0.0,310.61538461538464,72.625,691.4,0,0,0,0,4,7073,0,44,0,265,64240,240,2,32,0,0,0,0,1.4539824712921275E15,4.822314229874711E14,1.599380756766579E15,2.3866121E7,No Label
192.168.0.104-172.217.4.166-57746-443-6,192.168.0.104,57746,172.217.4.166,443,6,06/09/2020 02:10:11 PM,70163795,8,5,581.0,3459.0,517.0,0.0,72.62500000000001,180.94587785933592,2879.0,0.0,691.8,1248.209197210147,57.579553671519626,0.18528074201231562,5846982.916666666,1.4115287944632374E7,4.4960154E7,21.0,7.0163795E7,1.0023399285714285E7,1.7844136642855134E7,4.4960154E7,422.0,4.5828676E7,1.1457169E7,2.2526354807856523E7,4.5246119E7,7804.0,0,0,0,0,264,168,0.11401891816142501,0.07126182385089062,0.0,2879.0,288.5714285714285,771.142879536173,594661.3406593406,1,2,0,4,12,0,0,0,0.0,310.7692307692308,72.625,691.8,0,0,0,0,4,6940,0,44,0,266,64240,240,2,32,0,0,0,0,1.453982471306669E15,4.8223142300038656E14,1.59938075679441E15,2.3841721E7,No Label
192.168.0.104-23.33.244.140-42628-443-6,192.168.0.104,42628,23.33.244.140,443,6,06/09/2020 02:10:15 PM,65755504,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060831409641389105,2.1918501333333332E7,2.24964334865452E7,4.5226446E7,332545.0,6.5755504E7,3.2877752E7,1.7463690532395266E7,4.5226446E7,2.0529058E7,0,0,0,0,0,0,0,0,0,96,32,0.04562355723104183,0.015207852410347276,0.0,0.0,0.0,0.0,0.0,1,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,235,0,32,0,0,0,0,5.33126926945052E14,9.234028679819391E14,1.599380715744742E15,1.9863968E7,No Label
192.168.0.104-172.217.5.194-43850-443-6,192.168.0.104,43850,172.217.5.194,443,6,06/09/2020 02:10:04 PM,76734462,8,5,655.0,792.0,591.0,0.0,81.875,206.93300330576284,580.0,0.0,158.4,252.92844838016936,18.857237834025604,0.16941540555793563,6394538.5,1.503044082300123E7,4.5408128E7,38.0,7.6734462E7,1.0962066E7,1.8938454516713854E7,4.5408128E7,207.0,4.6241614E7,1.15604035E7,2.2784574755408514E7,4.573684E7,7445.0,0,0,0,0,264,168,0.10425563418949886,0.06515977136843679,0.0,591.0,103.35714285714285,212.1616245814849,45012.55494505494,1,2,0,4,12,0,0,0,0.0,111.3076923076923,81.875,158.4,0,0,0,0,4,2868,0,50,0,60,64240,240,2,32,0,0,0,0,1.4539824659081935E15,4.8223141918822144E14,1.599380750613858E15,2.9937356E7,No Label
192.168.0.104-23.54.89.215-43292-443-6,192.168.0.104,43292,23.54.89.215,443,6,06/09/2020 02:10:19 PM,61864719,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06465720793138978,2.0621573E7,2.2720194482862003E7,4.5175702E7,342740.0,6.1864719E7,3.09323595E7,2.0143128137025107E7,4.5175702E7,1.6689017E7,0,0,0,0,0,0,0,0,0,96,32,0.04849290594854233,0.016164301982847445,0.0,0.0,0.0,0.0,0.0,1,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,235,0,32,0,0,0,0,5.331269269416686E14,9.23402871363256E14,1.599380719645767E15,1.6003537E7,No Label
192.168.0.104-35.227.209.242-50380-443-6,192.168.0.104,50380,35.227.209.242,443,6,06/09/2020 02:10:03 PM,114779096,20,19,3622.0,1858.0,1368.0,0.0,181.1,401.27938816792107,369.0,0.0,97.78947368421053,159.06727400951684,47.74388534999439,0.3397831256660185,3020502.5263157887,1.0448079618126415E7,4.5351661E7,3.0,1.14688078E8,6036214.6315789465,1.4364598970819768E7,4.5445942E7,3.0,1.14691322E8,6371740.111111111,1.4703312162759578E7,4.5442679E7,14.0,0,0,0,0,640,608,0.17424775675180437,0.16553536891421414,0.0,1368.0,136.99999999999994,303.89767171170445,92353.79487179489,0,0,0,17,39,0,0,0,0.0,140.51282051282053,181.1,97.78947368421052,0,0,0,0,9,17739,0,92,0,47,501,806,11,32,0,0,0,0,1.5993807653615462E15,1.5904412520149961E7,1.599380818230773E15,1.599380703726061E15,No Label
192.168.0.104-202.94.66.145-38032-443-6,192.168.0.104,38032,202.94.66.145,443,6,06/09/2020 02:10:12 PM,91490020,51,70,4186.0,27787.0,517.0,0.0,82.07843137254899,129.2419193817942,1422.0,0.0,396.95714285714286,543.3880412320805,349.46981102419693,1.3225486233361847,762416.8333333334,5827133.687625272,4.5614884E7,5.0,9.1481818E7,1829636.3599999999,8970980.710733129,4.5614884E7,27.0,9.1484832E7,1325867.1304347827,7660432.807981227,4.5620257E7,5.0,0,0,0,0,1652,2248,0.557437849505334,0.7651107738308506,0.0,1422.0,262.0737704918033,447.24488398245074,200027.98624847585,0,2,0,61,120,0,0,0,1.0,264.2396694214876,82.07843137254902,396.95714285714286,0,0,0,0,82,39769,0,34,0,229,64240,176,19,32,0,0,0,0,1.599380714227074E15,1.0211949718682678E7,1.599380803898781E15,1.599380712421044E15,No Label
192.168.0.104-202.94.66.145-38032-443-6,192.168.0.104,38032,202.94.66.145,443,6,06/09/2020 02:12:13 PM,509,2,0,39.0,0.0,39.0,0.0,19.5,27.577164466275352,0,0,0,0,76620.82514734774,3929.2730844793714,509.0,0.0,509.0,509.0,509.0,509.0,0.0,509.0,509.0,0,0,0,0,0,1,0,0,0,64,0,3929.2730844793714,0.0,0.0,39.0,26.0,22.516660498395403,507.0,1,0,0,1,2,0,0,0,0.0,39.0,19.5,0.0,0,0,0,0,0,0,1,19,0,0,176,0,0,32,0,0,0,0,0,0,0,0,No Label
202.94.66.145-192.168.0.104-443-38032-6,202.94.66.145,443,192.168.0.104,38032,6,06/09/2020 02:12:13 PM,115,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26086.95652173913,57.5,31.81980515339464,80.0,35.0,115.0,115.0,0.0,115.0,115.0,0,0,0,0,0,0,0,0,0,64,32,17391.304347826088,8695.652173913044,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,176,501,0,32,0,0,0,0,0,0,0,0,No Label
192.168.0.104-142.250.101.188-57156-5228-6,192.168.0.104,57156,142.250.101.188,5228,6,06/09/2020 02:10:05 PM,92407199,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0649300061567714,1.84814398E7,2.4947598043956432E7,4.6602365E7,253702.0,9.212E7,4.606E7,1125808.7479576627,4.6856067E7,4.5263933E7,9.2153497E7,4.60767485E7,1111032.3375512073,4.6862367E7,4.529113E7,0,0,0,0,96,96,0.0324650030783857,0.0324650030783857,0.0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,501,265,0,32,0,0,0,0,1.5993807524415248E15,3.7296377107959494E7,1.599380797706689E15,1.599380706360395E15,No Label
192.168.0.104-172.67.219.90-54888-443-6,192.168.0.104,54888,172.67.219.90,443,6,06/09/2020 02:09:57 PM,102421178,713,752,2656.0,4224103.0,494.0,0.0,3.7251051893408187,29.189138174731774,11296.0,6.0,5617.158244680843,3465.82263205568,41268.40837546313,14.303682388812204,69959.82103825136,1701591.091675785,4.6761287E7,-1.0,1.02331971E8,143724.67837078648,2441274.774604089,4.6847975E7,4.0,1.0233547E8,136265.60585885483,2379626.5571715785,4.6850494E7,3.0,0,0,0,0,22756,15040,6.961450882746145,7.34223150606606,0.0,11296.0,2883.1916780354672,3746.440581968994,1.4035817034224177E7,0,0,0,447,1465,0,0,0,1.0,2885.159726962457,3.7251051893408134,5617.158244680851,0,0,0,0,383,1101246,0,1,0,2883,501,75,18,20,0,0,0,0,1.5993807072165138E15,3071247.8464958677,1.599380799719979E15,1.599380697589694E15,No Label
192.168.0.104-37.9.170.217-49670-443-6,192.168.0.104,49670,37.9.170.217,443,6,06/09/2020 02:10:03 PM,96036077,12,12,1065.0,7022.0,517.0,0.0,88.75,173.88508483269268,3116.0,0.0,585.1666666666665,1071.4320776277407,84.2079378148693,0.24990608477270473,4175481.608695652,1.3049895983670006E7,4.5785904E7,28.0,9.5848372E7,8713488.363636363,1.8278135946646936E7,4.6079879E7,172.0,9.5822412E7,8711128.363636363,1.83260291183902E7,4.5973609E7,28.0,0,0,0,0,392,392,0.12495304238635237,0.12495304238635237,0.0,3116.0,323.48,778.5618750833701,606158.5933333331,0,2,0,11,23,0,0,0,1.0,336.9583333333333,88.75,585.1666666666666,0,0,0,0,9,13259,0,44,0,292,64240,503,5,32,0,0,0,0,1.599380714019099E15,2.389684965207487E7,1.599380799512674E15,1.599380703958317E15,No Label
